## Query:
# 
# SELECT 
#   production_year, 
#   COUNT(DISTINCT id) as total
# FROM 
#   title
# WHERE 
#   kind_id in (1,3,4) AND 
#   title.id NOT IN (SELECT movie_id FROM movie_info WHERE info_type_id = 3 AND info in ('Adult','Erotica','Reality-TV','News','Talk-Show','Game-Show'))
# GROUP BY
#   production_year
# ORDER BY
#   production_year ASC


#0  11559
1880  1
1887  1
1888  6
1889  2
1890  5
1891  9
1892  9
1893  2
1894  93
1895  117
1896  811
1897  1266
1898  1673
1899  1681
1900  1806
1901  1724
1902  1766
1903  2647
1904  1832
1905  1656
1906  1846
1907  2393
1908  3148
1909  3585
1910  4683
1911  5974
1912  7798
1913  8958
1914  8242
1915  7725
1916  5914
1917  4519
1918  3793
1919  3648
1920  4116
1921  3677
1922  3133
1923  2628
1924  2636
1925  2807
1926  2857
1927  2948
1928  2798
1929  2851
1930  2582
1931  2566
1932  2612
1933  2482
1934  2544
1935  2543
1936  2864
1937  2905
1938  2835
1939  2633
1940  2306
1941  2295
1942  2198
1943  1971
1944  1844
1945  1750
1946  1947
1947  2077
1948  2256
1949  2459
1950  2560
1951  2560
1952  2821
1953  2979
1954  3020
1955  3132
1956  3203
1957  3419
1958  3492
1959  3573
1960  3813
1961  4029
1962  4140
1963  4290
1964  4622
1965  4819
1966  4885
1967  5359
1968  5598
1969  5370
1970  5718
1971  5544
1972  5301
1973  5173
1974  5205
1975  5233
1976  5210
1977  5121
1978  5363
1979  5540
1980  5681
1981  5490
1982  5663
1983  5634
1984  5690
1985  6030
1986  6160
1987  6396
1988  6540
1989  6608
1990  7131
1991  7184
1992  7475
1993  7458
1994  8054
1995  8675
1996  9232
1997  9821
1998  10859
1999  11626
2000  12735
2001  13878
2002  15325
2003  17599
2004  20773
2005  24373
2006  25817
2007  27729
2008  31622
2009  37652
2010  42728
2011  47414
2012  49446
2013  49874
